#  Wavelength        (Rp/Rs)**2
#          um          unitless
     2.344318   1.457331717e-02
     2.343769   1.456240645e-02
     2.343219   1.457986215e-02
     2.342671   1.461399615e-02
     2.342122   1.456664516e-02
     2.341573   1.456884971e-02
     2.341025   1.465853968e-02
     2.340477   1.455992098e-02
     2.339930   1.456743685e-02
     2.339382   1.459320800e-02
     2.338835   1.462696704e-02
     2.338288   1.458053112e-02
     2.337742   1.456142224e-02
     2.337195   1.463760883e-02
     2.336649   1.455774813e-02
     2.336103   1.456214235e-02
     2.335558   1.456634668e-02
     2.335012   1.456421721e-02
     2.334467   1.456826157e-02
     2.333922   1.459576303e-02
     2.333378   1.468957392e-02
     2.332833   1.466542116e-02
     2.332289   1.456438029e-02
     2.331746   1.456343165e-02
     2.331202   1.468474965e-02
     2.330659   1.456466598e-02
     2.330116   1.456358167e-02
     2.329573   1.464432932e-02
     2.329030   1.458595230e-02
     2.328488   1.456326787e-02
     2.327946   1.456271245e-02
     2.327404   1.456329328e-02
     2.326862   1.458012657e-02
     2.326321   1.456546596e-02
     2.325780   1.456034463e-02
     2.325239   1.463806425e-02
     2.324699   1.460506000e-02
     2.324158   1.457506127e-02
     2.323618   1.456354101e-02
     2.323079   1.457276592e-02
     2.322539   1.459482135e-02
     2.322000   1.456090899e-02
     2.321461   1.457151868e-02
     2.320922   1.456409978e-02
     2.320383   1.460044277e-02
     2.319845   1.456176224e-02
     2.319307   1.467634916e-02
     2.318769   1.459998739e-02
     2.318232   1.457058672e-02
     2.317694   1.481789142e-02
     2.317157   1.459925773e-02
     2.316621   1.455900655e-02
     2.316084   1.464237045e-02
     2.315548   1.458105356e-02
     2.315012   1.475177148e-02
     2.314476   1.456764659e-02
     2.313940   1.457579580e-02
     2.313405   1.457887654e-02
     2.312870   1.457407460e-02
     2.312335   1.460416794e-02
     2.311801   1.456351502e-02
     2.311266   1.456260726e-02
     2.310732   1.471899948e-02
     2.310198   1.469146312e-02
     2.309665   1.458852027e-02
     2.309131   1.455941708e-02
     2.308598   1.468858914e-02
     2.308066   1.458930598e-02
     2.307533   1.455768496e-02
     2.307001   1.456976639e-02
     2.306468   1.456074029e-02
     2.305937   1.456464340e-02
     2.305405   1.467568466e-02
     2.304874   1.479716918e-02
     2.304343   1.456177073e-02
     2.303812   1.456971617e-02
     2.303281   1.457503862e-02
     2.302751   1.458279390e-02
     2.302220   1.457386681e-02
     2.301691   1.457443712e-02
     2.301161   1.456834332e-02
     2.300631   1.456463986e-02
     2.300102   1.461315755e-02
     2.299573   1.460957066e-02
     2.299045   1.462219406e-02
     2.298516   1.459029424e-02
     2.297988   1.459239497e-02
     2.297460   1.457998059e-02
     2.296932   1.456009581e-02
     2.296405   1.480260519e-02
     2.295878   1.458270121e-02
     2.295351   1.458420751e-02
     2.294824   1.457302334e-02
     2.294298   1.456505767e-02
     2.293771   1.458808935e-02
     2.293245   1.458056543e-02
     2.292719   1.456353568e-02
     2.292194   1.457712183e-02
     2.291669   1.456927377e-02
     2.291144   1.480344972e-02
     2.290619   1.459703226e-02
     2.290094   1.457298152e-02
     2.289570   1.459648762e-02
     2.289046   1.459109171e-02
     2.288522   1.460200523e-02
     2.287998   1.457704372e-02
     2.287475   1.457492761e-02
     2.286952   1.456060338e-02
     2.286429   1.458706368e-02
     2.285906   1.456345082e-02
     2.285384   1.455834131e-02
     2.284862   1.458447410e-02
     2.284340   1.472202337e-02
     2.283818   1.456669005e-02
     2.283297   1.475183563e-02
     2.282775   1.457786841e-02
     2.282254   1.456458047e-02
     2.281734   1.455785145e-02
     2.281213   1.455424674e-02
